Age Group,State,State Code,Yearly July 1st Estimates,Population
15-19 years,New Jersey,34,2005,586192
15-19 years,New Jersey,34,2006,595929
15-19 years,New Jersey,34,2007,602132
15-19 years,New Jersey,34,2008,603910
15-19 years,New Jersey,34,2009,601962
15-19 years,New Jersey,34,2010,598142
15-19 years,New Jersey,34,2011,595388
15-19 years,New Jersey,34,2012,587749
15-19 years,New Jersey,34,2013,579316
15-19 years,New Jersey,34,2014,572417
15-19 years,New Jersey,34,2015,568075
15-19 years,New Jersey,34,2016,563969
15-19 years,New Jersey,34,2017,559465
15-19 years,New Jersey,34,2018,555479
15-19 years,New Jersey,34,2019,552643
15-19 years,New Jersey,34,2020,547485
15-19 years,New Mexico,35,1990,114578
15-19 years,New Mexico,35,1991,116159
15-19 years,New Mexico,35,1992,119919
15-19 years,New Mexico,35,1993,123833
15-19 years,New Mexico,35,1994,128955
15-19 years,New Mexico,35,1995,134208
15-19 years,New Mexico,35,1996,139027
15-19 years,New Mexico,35,1997,142537
15-19 years,New Mexico,35,1998,145384
15-19 years,New Mexico,35,1999,146003
15-19 years,New Mexico,35,2000,145935
15-19 years,New Mexico,35,2001,146931
15-19 years,New Mexico,35,2002,148291
15-19 years,New Mexico,35,2003,149018
15-19 years,New Mexico,35,2004,149741
15-19 years,New Mexico,35,2005,150703
15-19 years,New Mexico,35,2006,151293
15-19 years,New Mexico,35,2007,151177
15-19 years,New Mexico,35,2008,151343
15-19 years,New Mexico,35,2009,150733
15-19 years,New Mexico,35,2010,149449
15-19 years,New Mexico,35,2011,146773
15-19 years,New Mexico,35,2012,143882
15-19 years,New Mexico,35,2013,141589
15-19 years,New Mexico,35,2014,139913
15-19 years,New Mexico,35,2015,139517
15-19 years,New Mexico,35,2016,139674
15-19 years,New Mexico,35,2017,139375
15-19 years,New Mexico,35,2018,139337
15-19 years,New Mexico,35,2019,139182
15-19 years,New Mexico,35,2020,138913
15-19 years,New York,36,1990,1229285
15-19 years,New York,36,1991,1177615
15-19 years,New York,36,1992,1166473
15-19 years,New York,36,1993,1174784
15-19 years,New York,36,1994,1191742
15-19 years,New York,36,1995,1208668
15-19 years,New York,36,1996,1229133
15-19 years,New York,36,1997,1244182
15-19 years,New York,36,1998,1261923
15-19 years,New York,36,1999,1275530
15-19 years,New York,36,2000,1288087
15-19 years,New York,36,2001,1297172
15-19 years,New York,36,2002,1311291
15-19 years,New York,36,2003,1324282
15-19 years,New York,36,2004,1341862
15-19 years,New York,36,2005,1364644
15-19 years,New York,36,2006,1378904
15-19 years,New York,36,2007,1387788
15-19 years,New York,36,2008,1390597
15-19 years,New York,36,2009,1380777
15-19 years,New York,36,2010,1359214
15-19 years,New York,36,2011,1331794
15-19 years,New York,36,2012,1305524
15-19 years,New York,36,2013,1277870
15-19 years,New York,36,2014,1251440
15-19 years,New York,36,2015,1233804
15-19 years,New York,36,2016,1218906
15-19 years,New York,36,2017,1201826
15-19 years,New York,36,2018,1187736
15-19 years,New York,36,2019,1173331
15-19 years,New York,36,2020,1153680
15-19 years,North Carolina,37,1990,498166
15-19 years,North Carolina,37,1991,473018
15-19 years,North Carolina,37,1992,464831
15-19 years,North Carolina,37,1993,469737
15-19 years,North Carolina,37,1994,478503
15-19 years,North Carolina,37,1995,489903
15-19 years,North Carolina,37,1996,503540
15-19 years,North Carolina,37,1997,515684
15-19 years,North Carolina,37,1998,526799
15-19 years,North Carolina,37,1999,533703
15-19 years,North Carolina,37,2000,541400
15-19 years,North Carolina,37,2001,555073
15-19 years,North Carolina,37,2002,567905
15-19 years,North Carolina,37,2003,576682
15-19 years,North Carolina,37,2004,591449
15-19 years,North Carolina,37,2005,610691
15-19 years,North Carolina,37,2006,628623
15-19 years,North Carolina,37,2007,646225
15-19 years,North Carolina,37,2008,657428
15-19 years,North Carolina,37,2009,663387
15-19 years,North Carolina,37,2010,661902
15-19 years,North Carolina,37,2011,654799
15-19 years,North Carolina,37,2012,650896
15-19 years,North Carolina,37,2013,650654
15-19 years,North Carolina,37,2014,652088
15-19 years,North Carolina,37,2015,661281
15-19 years,North Carolina,37,2016,676134
15-19 years,North Carolina,37,2017,681074
15-19 years,North Carolina,37,2018,687067
15-19 years,North Carolina,37,2019,690253
15-19 years,North Carolina,37,2020,689241
15-19 years,North Dakota,38,1990,46387
15-19 years,North Dakota,38,1991,45314
15-19 years,North Dakota,38,1992,45990
15-19 years,North Dakota,38,1993,47374
15-19 years,North Dakota,38,1994,49045
15-19 years,North Dakota,38,1995,50749
15-19 years,North Dakota,38,1996,52264
15-19 years,North Dakota,38,1997,53440
15-19 years,North Dakota,38,1998,54241
15-19 years,North Dakota,38,1999,54178
15-19 years,North Dakota,38,2000,53733
15-19 years,North Dakota,38,2001,55360
15-19 years,North Dakota,38,2002,54264
15-19 years,North Dakota,38,2003,53051
15-19 years,North Dakota,38,2004,52541
15-19 years,North Dakota,38,2005,51351
15-19 years,North Dakota,38,2006,50296
15-19 years,North Dakota,38,2007,49571
15-19 years,North Dakota,38,2008,48731
15-19 years,North Dakota,38,2009,48054
15-19 years,North Dakota,38,2010,47536
15-19 years,North Dakota,38,2011,47549
15-19 years,North Dakota,38,2012,47523
15-19 years,North Dakota,38,2013,48018
15-19 years,North Dakota,38,2014,48169
15-19 years,North Dakota,38,2015,48415
15-19 years,North Dakota,38,2016,47843
15-19 years,North Dakota,38,2017,47316
15-19 years,North Dakota,38,2018,47352
15-19 years,North Dakota,38,2019,47494
15-19 years,North Dakota,38,2020,48176
15-19 years,Ohio,39,1990,788752
15-19 years,Ohio,39,1991,763705
15-19 years,Ohio,39,1992,756987
15-19 years,Ohio,39,1993,761523
15-19 years,Ohio,39,1994,773465
15-19 years,Ohio,39,1995,788793
15-19 years,Ohio,39,1996,804361
15-19 years,Ohio,39,1997,816309
15-19 years,Ohio,39,1998,823901
15-19 years,Ohio,39,1999,820849
15-19 years,Ohio,39,2000,819088
15-19 years,Ohio,39,2001,814685
15-19 years,Ohio,39,2002,812172
15-19 years,Ohio,39,2003,815127
15-19 years,Ohio,39,2004,821803
15-19 years,Ohio,39,2005,829171
15-19 years,Ohio,39,2006,835744
15-19 years,Ohio,39,2007,840649
15-19 years,Ohio,39,2008,840788
15-19 years,Ohio,39,2009,833812
15-19 years,Ohio,39,2010,821585
15-19 years,Ohio,39,2011,805963
15-19 years,Ohio,39,2012,789302
15-19 years,Ohio,39,2013,780513
15-19 years,Ohio,39,2014,773506
15-19 years,Ohio,39,2015,772066
15-19 years,Ohio,39,2016,769752
15-19 years,Ohio,39,2017,767843
15-19 years,Ohio,39,2018,760648
15-19 years,Ohio,39,2019,756422
15-19 years,Ohio,39,2020,745614
15-19 years,Oklahoma,40,1990,233298
15-19 years,Oklahoma,40,1991,229953
15-19 years,Oklahoma,40,1992,232416
15-19 years,Oklahoma,40,1993,236157
15-19 years,Oklahoma,40,1994,241756
15-19 years,Oklahoma,40,1995,247984
15-19 years,Oklahoma,40,1996,255000
15-19 years,Oklahoma,40,1997,261565
15-19 years,Oklahoma,40,1998,268067
15-19 years,Oklahoma,40,1999,270348
15-19 years,Oklahoma,40,2000,270083
15-19 years,Oklahoma,40,2001,269131
15-19 years,Oklahoma,40,2002,265914
15-19 years,Oklahoma,40,2003,262211
15-19 years,Oklahoma,40,2004,260984
15-19 years,Oklahoma,40,2005,261395
15-19 years,Oklahoma,40,2006,262785
15-19 years,Oklahoma,40,2007,264947
15-19 years,Oklahoma,40,2008,266021
15-19 years,Oklahoma,40,2009,266142
15-19 years,Oklahoma,40,2010,263536
15-19 years,Oklahoma,40,2011,259093
15-19 years,Oklahoma,40,2012,255647
15-19 years,Oklahoma,40,2013,255948
15-19 years,Oklahoma,40,2014,257334
15-19 years,Oklahoma,40,2015,260891
15-19 years,Oklahoma,40,2016,262923
15-19 years,Oklahoma,40,2017,263323
15-19 years,Oklahoma,40,2018,263774
15-19 years,Oklahoma,40,2019,264552
15-19 years,Oklahoma,40,2020,264926
15-19 years,Oregon,41,1990,192063
15-19 years,Oregon,41,1991,192796
15-19 years,Oregon,41,1992,198794
15-19 years,Oregon,41,1993,206095
15-19 years,Oregon,41,1994,214658
15-19 years,Oregon,41,1995,223603
15-19 years,Oregon,41,1996,231726
15-19 years,Oregon,41,1997,238448
15-19 years,Oregon,41,1998,243113
15-19 years,Oregon,41,1999,244611
15-19 years,Oregon,41,2000,245470
15-19 years,Oregon,41,2001,246236
15-19 years,Oregon,41,2002,247064
15-19 years,Oregon,41,2003,247485
15-19 years,Oregon,41,2004,248790
15-19 years,Oregon,41,2005,252412
15-19 years,Oregon,41,2006,255894
15-19 years,Oregon,41,2007,258529
15-19 years,Oregon,41,2008,259067
15-19 years,Oregon,41,2009,257262
15-19 years,Oregon,41,2010,253460
15-19 years,Oregon,41,2011,249725
15-19 years,Oregon,41,2012,246820
15-19 years,Oregon,41,2013,243808
15-19 years,Oregon,41,2014,243891
15-19 years,Oregon,41,2015,244741
15-19 years,Oregon,41,2016,247059
15-19 years,Oregon,41,2017,246880
15-19 years,Oregon,41,2018,246417
15-19 years,Oregon,41,2019,246193
15-19 years,Oregon,41,2020,244980
15-19 years,Pennsylvania,42,1990,814925
15-19 years,Pennsylvania,42,1991,778759
15-19 years,Pennsylvania,42,1992,766029
15-19 years,Pennsylvania,42,1993,770478
15-19 years,Pennsylvania,42,1994,783220
15-19 years,Pennsylvania,42,1995,799080
15-19 years,Pennsylvania,42,1996,815508
15-19 years,Pennsylvania,42,1997,830255
15-19 years,Pennsylvania,42,1998,844217
15-19 years,Pennsylvania,42,1999,848682
15-19 years,Pennsylvania,42,2000,852407
15-19 years,Pennsylvania,42,2001,859430
15-19 years,Pennsylvania,42,2002,868354
15-19 years,Pennsylvania,42,2003,877791
15-19 years,Pennsylvania,42,2004,890614
15-19 years,Pennsylvania,42,2005,906077
15-19 years,Pennsylvania,42,2006,917397
15-19 years,Pennsylvania,42,2007,922241
15-19 years,Pennsylvania,42,2008,922093
15-19 years,Pennsylvania,42,2009,916709
15-19 years,Pennsylvania,42,2010,901574
15-19 years,Pennsylvania,42,2011,885929
15-19 years,Pennsylvania,42,2012,867284
15-19 years,Pennsylvania,42,2013,850858
15-19 years,Pennsylvania,42,2014,837560
15-19 years,Pennsylvania,42,2015,829537
15-19 years,Pennsylvania,42,2016,822676
15-19 years,Pennsylvania,42,2017,814340
15-19 years,Pennsylvania,42,2018,809570
15-19 years,Pennsylvania,42,2019,801600
15-19 years,Pennsylvania,42,2020,793290
15-19 years,Rhode Island,44,1990,70548
15-19 years,Rhode Island,44,1991,64016
15-19 years,Rhode Island,44,1992,60848
15-19 years,Rhode Island,44,1993,61464
15-19 years,Rhode Island,44,1994,62757
15-19 years,Rhode Island,44,1995,64645
15-19 years,Rhode Island,44,1996,67045
15-19 years,Rhode Island,44,1997,69555
15-19 years,Rhode Island,44,1998,71756
15-19 years,Rhode Island,44,1999,73898
15-19 years,Rhode Island,44,2000,75568
15-19 years,Rhode Island,44,2001,76109
15-19 years,Rhode Island,44,2002,77667
15-19 years,Rhode Island,44,2003,78591
15-19 years,Rhode Island,44,2004,80581
15-19 years,Rhode Island,44,2005,81389
15-19 years,Rhode Island,44,2006,82755
15-19 years,Rhode Island,44,2007,82277
15-19 years,Rhode Island,44,2008,82103
15-19 years,Rhode Island,44,2009,81936
15-19 years,Rhode Island,44,2010,79792
15-19 years,Rhode Island,44,2011,78021
15-19 years,Rhode Island,44,2012,76882
15-19 years,Rhode Island,44,2013,75291
15-19 years,Rhode Island,44,2014,74461
15-19 years,Rhode Island,44,2015,73635
15-19 years,Rhode Island,44,2016,72886
15-19 years,Rhode Island,44,2017,71970
15-19 years,Rhode Island,44,2018,71443
15-19 years,Rhode Island,44,2019,70648
15-19 years,Rhode Island,44,2020,69616
15-19 years,South Carolina,45,1990,276106
15-19 years,South Carolina,45,1991,267856
15-19 years,South Carolina,45,1992,265032
15-19 years,South Carolina,45,1993,266442
15-19 years,South Carolina,45,1994,270330
15-19 years,South Carolina,45,1995,276019
15-19 years,South Carolina,45,1996,282941
15-19 years,South Carolina,45,1997,288897
15-19 years,South Carolina,45,1998,293626
15-19 years,South Carolina,45,1999,295241
15-19 years,South Carolina,45,2000,297302
15-19 years,South Carolina,45,2001,296211
15-19 years,South Carolina,45,2002,297916
15-19 years,South Carolina,45,2003,300721
15-19 years,South Carolina,45,2004,307970
15-19 years,South Carolina,45,2005,315965
15-19 years,South Carolina,45,2006,323385
15-19 years,South Carolina,45,2007,329135
15-19 years,South Carolina,45,2008,333269
15-19 years,South Carolina,45,2009,333129
15-19 years,South Carolina,45,2010,327071
15-19 years,South Carolina,45,2011,318637
15-19 years,South Carolina,45,2012,313390
15-19 years,South Carolina,45,2013,310467
15-19 years,South Carolina,45,2014,310849
15-19 years,South Carolina,45,2015,315832
15-19 years,South Carolina,45,2016,320039
15-19 years,South Carolina,45,2017,322479
15-19 years,South Carolina,45,2018,323794
15-19 years,South Carolina,45,2019,325238
15-19 years,South Carolina,45,2020,325272
15-19 years,South Dakota,46,1990,50662
15-19 years,South Dakota,46,1991,50864
15-19 years,South Dakota,46,1992,52496
15-19 years,South Dakota,46,1993,54454
15-19 years,South Dakota,46,1994,56714
15-19 years,South Dakota,46,1995,59026
15-19 years,South Dakota,46,1996,60831
15-19 years,South Dakota,46,1997,62012
15-19 years,South Dakota,46,1998,62807
15-19 years,South Dakota,46,1999,62829
15-19 years,South Dakota,46,2000,62688
15-19 years,South Dakota,46,2001,63411
15-19 years,South Dakota,46,2002,62457
15-19 years,South Dakota,46,2003,61819
15-19 years,South Dakota,46,2004,61308
15-19 years,South Dakota,46,2005,60530
15-19 years,South Dakota,46,2006,59679
15-19 years,South Dakota,46,2007,59384
15-19 years,South Dakota,46,2008,58793
15-19 years,South Dakota,46,2009,58222
15-19 years,South Dakota,46,2010,57806
15-19 years,South Dakota,46,2011,57794
15-19 years,South Dakota,46,2012,57262
15-19 years,South Dakota,46,2013,56594
15-19 years,South Dakota,46,2014,56622
15-19 years,South Dakota,46,2015,56374
15-19 years,South Dakota,46,2016,56816
15-19 years,South Dakota,46,2017,57283
15-19 years,South Dakota,46,2018,57404
15-19 years,South Dakota,46,2019,58206
15-19 years,South Dakota,46,2020,58826
15-19 years,Tennessee,47,1990,364919
15-19 years,Tennessee,47,1991,353416
15-19 years,Tennessee,47,1992,351704
15-19 years,Tennessee,47,1993,356379
15-19 years,Tennessee,47,1994,364345
15-19 years,Tennessee,47,1995,374197
15-19 years,Tennessee,47,1996,384217
15-19 years,Tennessee,47,1997,390830
15-19 years,Tennessee,47,1998,395223
15-19 years,Tennessee,47,1999,395646
15-19 years,Tennessee,47,2000,396794
15-19 years,Tennessee,47,2001,393483
15-19 years,Tennessee,47,2002,393266
15-19 years,Tennessee,47,2003,396474
15-19 years,Tennessee,47,2004,404445
15-19 years,Tennessee,47,2005,414673
15-19 years,Tennessee,47,2006,424339
15-19 years,Tennessee,47,2007,432306
15-19 years,Tennessee,47,2008,437444
15-19 years,Tennessee,47,2009,438223
15-19 years,Tennessee,47,2010,434973
15-19 years,Tennessee,47,2011,427530
15-19 years,Tennessee,47,2012,421947
15-19 years,Tennessee,47,2013,418461
15-19 years,Tennessee,47,2014,417792
15-19 years,Tennessee,47,2015,420402
15-19 years,Tennessee,47,2016,423129
15-19 years,Tennessee,47,2017,425105
15-19 years,Tennessee,47,2018,425729
15-19 years,Tennessee,47,2019,424541
15-19 years,Tennessee,47,2020,422864
15-19 years,Texas,48,1990,1313882
15-19 years,Texas,48,1991,1299400
15-19 years,Texas,48,1992,1310394
15-19 years,Texas,48,1993,1336660
15-19 years,Texas,48,1994,1376078
15-19 years,Texas,48,1995,1424687
15-19 years,Texas,48,1996,1479615
15-19 years,Texas,48,1997,1532328
15-19 years,Texas,48,1998,1586452
15-19 years,Texas,48,1999,1619632
15-19 years,Texas,48,2000,1644928
15-19 years,Texas,48,2001,1663627
15-19 years,Texas,48,2002,1679252
15-19 years,Texas,48,2003,1693677
15-19 years,Texas,48,2004,1714959
15-19 years,Texas,48,2005,1741642
15-19 years,Texas,48,2006,1783634
15-19 years,Texas,48,2007,1816469
15-19 years,Texas,48,2008,1846558
15-19 years,Texas,48,2009,1874569
15-19 years,Texas,48,2010,1883825
15-19 years,Texas,48,2011,1883621
15-19 years,Texas,48,2012,1886712
15-19 years,Texas,48,2013,1896904
15-19 years,Texas,48,2014,1918686
15-19 years,Texas,48,2015,1952793
15-19 years,Texas,48,2016,1984616
15-19 years,Texas,48,2017,2009005
15-19 years,Texas,48,2018,2032026
15-19 years,Texas,48,2019,2054752
15-19 years,Texas,48,2020,2067665
15-19 years,Utah,49,1990,153856
15-19 years,Utah,49,1991,159621
15-19 years,Utah,49,1992,169807
15-19 years,Utah,49,1993,182758
15-19 years,Utah,49,1994,195778
15-19 years,Utah,49,1995,207021
15-19 years,Utah,49,1996,215475
15-19 years,Utah,49,1997,219628
15-19 years,Utah,49,1998,221542
15-19 years,Utah,49,1999,219171
15-19 years,Utah,49,2000,217947
15-19 years,Utah,49,2001,215676
15-19 years,Utah,49,2002,212305
15-19 years,Utah,49,2003,209079
15-19 years,Utah,49,2004,207942
15-19 years,Utah,49,2005,209386
15-19 years,Utah,49,2006,211602
15-19 years,Utah,49,2007,215162
15-19 years,Utah,49,2008,218353
15-19 years,Utah,49,2009,220043
15-19 years,Utah,49,2010,220415
15-19 years,Utah,49,2011,218140
15-19 years,Utah,49,2012,218404
15-19 years,Utah,49,2013,222138
15-19 years,Utah,49,2014,225274
15-19 years,Utah,49,2015,230716
15-19 years,Utah,49,2016,237168
15-19 years,Utah,49,2017,242948
15-19 years,Utah,49,2018,248676
15-19 years,Utah,49,2019,254050
15-19 years,Utah,49,2020,257119
15-19 years,Vermont,50,1990,41424
15-19 years,Vermont,50,1991,38574
15-19 years,Vermont,50,1992,37369
15-19 years,Vermont,50,1993,37875
15-19 years,Vermont,50,1994,39119
15-19 years,Vermont,50,1995,40494
15-19 years,Vermont,50,1996,41934
15-19 years,Vermont,50,1997,43235
15-19 years,Vermont,50,1998,44473
15-19 years,Vermont,50,1999,45231
15-19 years,Vermont,50,2000,45909
15-19 years,Vermont,50,2001,47533
15-19 years,Vermont,50,2002,48489
15-19 years,Vermont,50,2003,48681
15-19 years,Vermont,50,2004,48941
15-19 years,Vermont,50,2005,49008
15-19 years,Vermont,50,2006,48968
15-19 years,Vermont,50,2007,48510
15-19 years,Vermont,50,2008,47893
15-19 years,Vermont,50,2009,46797
15-19 years,Vermont,50,2010,46136
15-19 years,Vermont,50,2011,46235
15-19 years,Vermont,50,2012,45502
15-19 years,Vermont,50,2013,44773
15-19 years,Vermont,50,2014,43972
15-19 years,Vermont,50,2015,43618
15-19 years,Vermont,50,2016,42953
15-19 years,Vermont,50,2017,42079
15-19 years,Vermont,50,2018,41644
15-19 years,Vermont,50,2019,41335
15-19 years,Vermont,50,2020,40826
15-19 years,Virginia,51,1990,438288
15-19 years,Virginia,51,1991,419973
15-19 years,Virginia,51,1992,416927
15-19 years,Virginia,51,1993,420033
15-19 years,Virginia,51,1994,426594
15-19 years,Virginia,51,1995,436245
15-19 years,Virginia,51,1996,448758
15-19 years,Virginia,51,1997,459839
15-19 years,Virginia,51,1998,470314
15-19 years,Virginia,51,1999,478532
15-19 years,Virginia,51,2000,485807
15-19 years,Virginia,51,2001,498375
15-19 years,Virginia,51,2002,508385
15-19 years,Virginia,51,2003,514848
15-19 years,Virginia,51,2004,525374
15-19 years,Virginia,51,2005,535633
15-19 years,Virginia,51,2006,545414
15-19 years,Virginia,51,2007,550422
15-19 years,Virginia,51,2008,553537
15-19 years,Virginia,51,2009,553437
15-19 years,Virginia,51,2010,550425
15-19 years,Virginia,51,2011,545517
15-19 years,Virginia,51,2012,542309
15-19 years,Virginia,51,2013,538007
15-19 years,Virginia,51,2014,535764
15-19 years,Virginia,51,2015,537077
15-19 years,Virginia,51,2016,539651
15-19 years,Virginia,51,2017,541101
15-19 years,Virginia,51,2018,541916
15-19 years,Virginia,51,2019,543837
15-19 years,Virginia,51,2020,542556
15-19 years,Washington,53,1990,326714
15-19 years,Washington,53,1991,325401
15-19 years,Washington,53,1992,335109
15-19 years,Washington,53,1993,346101
15-19 years,Washington,53,1994,358872
15-19 years,Washington,53,1995,374037
15-19 years,Washington,53,1996,389223
15-19 years,Washington,53,1997,404326
15-19 years,Washington,53,1998,417673
15-19 years,Washington,53,1999,424735
15-19 years,Washington,53,2000,429985
15-19 years,Washington,53,2001,433505
15-19 years,Washington,53,2002,435089
15-19 years,Washington,53,2003,437452
15-19 years,Washington,53,2004,442830
15-19 years,Washington,53,2005,448667
15-19 years,Washington,53,2006,455515
15-19 years,Washington,53,2007,461453
15-19 years,Washington,53,2008,465642
15-19 years,Washington,53,2009,465685
15-19 years,Washington,53,2010,459582
15-19 years,Washington,53,2011,449725
15-19 years,Washington,53,2012,442767
15-19 years,Washington,53,2013,439710
15-19 years,Washington,53,2014,439484
15-19 years,Washington,53,2015,441738
15-19 years,Washington,53,2016,444976
15-19 years,Washington,53,2017,445505
15-19 years,Washington,53,2018,445752
15-19 years,Washington,53,2019,447613
15-19 years,Washington,53,2020,447495
15-19 years,West Virginia,54,1990,141173
15-19 years,West Virginia,54,1991,138090
15-19 years,West Virginia,54,1992,137332
15-19 years,West Virginia,54,1993,138422
15-19 years,West Virginia,54,1994,139343
15-19 years,West Virginia,54,1995,139978
15-19 years,West Virginia,54,1996,139414
15-19 years,West Virginia,54,1997,136968
15-19 years,West Virginia,54,1998,133877
15-19 years,West Virginia,54,1999,129301
15-19 years,West Virginia,54,2000,125735
15-19 years,West Virginia,54,2001,122425
15-19 years,West Virginia,54,2002,120830
15-19 years,West Virginia,54,2003,119365
15-19 years,West Virginia,54,2004,119335
15-19 years,West Virginia,54,2005,119757
15-19 years,West Virginia,54,2006,120417
15-19 years,West Virginia,54,2007,121325
15-19 years,West Virginia,54,2008,121453
15-19 years,West Virginia,54,2009,121260
15-19 years,West Virginia,54,2010,119248
15-19 years,West Virginia,54,2011,116387
15-19 years,West Virginia,54,2012,113866
15-19 years,West Virginia,54,2013,112386
15-19 years,West Virginia,54,2014,111194
15-19 years,West Virginia,54,2015,110379
15-19 years,West Virginia,54,2016,109374
15-19 years,West Virginia,54,2017,108090
15-19 years,West Virginia,54,2018,106837
15-19 years,West Virginia,54,2019,106345
15-19 years,West Virginia,54,2020,105098
15-19 years,Wisconsin,55,1990,347151
15-19 years,Wisconsin,55,1991,339878
15-19 years,Wisconsin,55,1992,343621
15-19 years,Wisconsin,55,1993,352422
15-19 years,Wisconsin,55,1994,363460
15-19 years,Wisconsin,55,1995,375722
15-19 years,Wisconsin,55,1996,387619
15-19 years,Wisconsin,55,1997,397308
15-19 years,Wisconsin,55,1998,404697
15-19 years,Wisconsin,55,1999,407067
15-19 years,Wisconsin,55,2000,408587
15-19 years,Wisconsin,55,2001,415104
15-19 years,Wisconsin,55,2002,416509
15-19 years,Wisconsin,55,2003,415257
15-19 years,Wisconsin,55,2004,415552
15-19 years,Wisconsin,55,2005,415890
15-19 years,Wisconsin,55,2006,414706
15-19 years,Wisconsin,55,2007,412836
15-19 years,Wisconsin,55,2008,410087
15-19 years,Wisconsin,55,2009,404881
15-19 years,Wisconsin,55,2010,399334
15-19 years,Wisconsin,55,2011,396642
15-19 years,Wisconsin,55,2012,390918
15-19 years,Wisconsin,55,2013,386658
15-19 years,Wisconsin,55,2014,383480
15-19 years,Wisconsin,55,2015,382768
15-19 years,Wisconsin,55,2016,381634
15-19 years,Wisconsin,55,2017,379702
15-19 years,Wisconsin,55,2018,378609
15-19 years,Wisconsin,55,2019,378304
15-19 years,Wisconsin,55,2020,375588
15-19 years,Wyoming,56,1990,34994
15-19 years,Wyoming,56,1991,35603
15-19 years,Wyoming,56,1992,36793
15-19 years,Wyoming,56,1993,38015
15-19 years,Wyoming,56,1994,39444
15-19 years,Wyoming,56,1995,40835
15-19 years,Wyoming,56,1996,41952
15-19 years,Wyoming,56,1997,42542
15-19 years,Wyoming,56,1998,42859
15-19 years,Wyoming,56,1999,42523
15-19 years,Wyoming,56,2000,42004
15-19 years,Wyoming,56,2001,41632
15-19 years,Wyoming,56,2002,40947
15-19 years,Wyoming,56,2003,40157
15-19 years,Wyoming,56,2004,39553
15-19 years,Wyoming,56,2005,38916
15-19 years,Wyoming,56,2006,38760
15-19 years,Wyoming,56,2007,38640
15-19 years,Wyoming,56,2008,38839
15-19 years,Wyoming,56,2009,39062
15-19 years,Wyoming,56,2010,37874
15-19 years,Wyoming,56,2011,36905
15-19 years,Wyoming,56,2012,36907
15-19 years,Wyoming,56,2013,37343
15-19 years,Wyoming,56,2014,36583
15-19 years,Wyoming,56,2015,36831
15-19 years,Wyoming,56,2016,36485
15-19 years,Wyoming,56,2017,36327
15-19 years,Wyoming,56,2018,36319
15-19 years,Wyoming,56,2019,36502
15-19 years,Wyoming,56,2020,37004
